,FileLocation,Site,QC,Front.or.Downward.Facing.Camera.,Manually.Counted.,Starts.at,Notes,Month,Month.Numeral,Year
6,Apr2018_FishSurveys/Apr2018Booby2.MOV,BR,1,F,no,0:10,,April,5,2018
8,Apr2019_FishSurveys_WS/BR/P1010004.MOV,BR,1,F,no,0:10,,April,5,2019
15,Apr2018_FishSurveys/Apr2018Cocoloba2.MOV,CL,1,F,no,0:13,,April,5,2018
27,Apr2018_FishSurveys/Apr2018JoelsShoal3.MOV,JS,1,F,no,0:12,,April,5,2018
29,Apr2019_FishSurveys_WS/JS/P1010044.MOV,JS,1,F,no,0:20,,April,5,2019
42,Apr2019_FishSurveys_WS/TK/P1010025.MOV,TK,1,F,no,0:04,,April,5,2019
54,Apr2019_FishSurveys_WS/YA/P1010050.MOV,YZ,1,F,no,0:05,,April,5,2019
64,Apr2018_FishSurveys/Apr2018JoelsShoal1.MOV,JS,1,F,no,0:10,,April,5,2018
67,Apr2019_FishSurveys_WS/YA/P1010048.MOV,YZ,1,F,no,0:08,,April,5,2019
74,Apr2019_FishSurveys_WS/BR/P1010002_portion of first trasect.MOV,BR,1,F,no,0:02,,April,5,2019
87,Apr2019_FishSurveys_WS/JS/P1010042.MOV,JS,1,F,no,0:07,,April,5,2019
91,Apr2019_FishSurveys_WS/BR/P1010003.MOV,BR,1,F,no,0:06,,April,5,2019
93,Apr2019_FishSurveys_WS/TK/P1010039b_portion of second trasect.MOV,TK,1,F,no,0:03,,April,5,2019
109,Apr2019_FishSurveys_WS/BR/P1010001_portion of first trasect.MOV,BR,1,F,no,0:06,,April,5,2019
110,Apr2019_FishSurveys_WS/TK/P1010038a_portion of second trasect.MOV,TK,1,F,no,0:06,,April,5,2019
122,Apr2018_FishSurveys/Apr2018Booby3.MOV,BR,1,F,no,0:10,,April,5,2018
124,Apr2018_FishSurveys/Apr2018JoelsShoal2.MOV,JS,1,F,no,0:21,,April,5,2018
145,Apr2019_FishSurveys_WS/YA/P1010051.MOV,YZ,1,F,no,0:04,,April,5,2019
148,Apr2018_FishSurveys/Apr2018Booby1.MOV,BR,1,F,no,0:14,,April,5,2018
157,Apr2019_FishSurveys_WS/BR/P1010005.MOV,BR,1,F,no,0:32,,April,5,2019
18,Aug2020_FishSurveys/Coco/P1010013.MOV,CL,1,F,no,0:04,,August,9,2020
31,Aug2020_FishSurveys/Joels Shoal/P1010001.MOV,JS,1,F,no,0:05,,August,9,2020
43,Aug2020_FishSurveys/Tektite/P1010021.MOV,TK,1,F,no,0:05,,August,9,2020
56,Aug2020_FishSurveys/Yawzi/P1010010.MOV,YZ,1,F,no,0:15,,August,9,2020
62,Aug2020_FishSurveys/Coco/P1010014.MOV,CL,1,F,no,0:05,,August,9,2020
69,Aug2020_FishSurveys/Coco/P1010011.MOV,CL,1,F,no,0:05,,August,9,2020
114,Aug2020_FishSurveys/Yawzi/P1010009.MOV,YZ,1,F,no,0:17,,August,9,2020
120,Aug2020_FishSurveys/Yawzi/P1010012.MOV,YZ,1,F,no,0:03,,August,9,2020
123,Aug2020_FishSurveys/Yawzi/P1010011.MOV,YZ,1,F,no,0:06,,August,9,2020
131,Aug2020_FishSurveys/Yawzi/P1010014.MOV,YZ,1,F,no,0:28,,August,9,2020
142,Aug2020_FishSurveys/Coco/P1010010.MOV,CL,1,F,no,0:05,,August,9,2020
171,Aug2020_FishSurveys/Coco/P1010012.MOV,CL,1,F,no,0:05,,August,9,2020
179,Aug2020_FishSurveys/Coco/P1010015.MOV,CL,1,F,no,0:05,,August,9,2020
19,Jan2021_FishSurveys/Cocoloba Surveys 1.21.2021/P1010022.MOV,CL,1,F,,0:21,,January,1,2021
32,Jan2021_FishSurveys/Joel's Shoal Fish Surveys 1.21.2021/P1010017.MOV,JS,1,F,,0:11,,January,1,2021
44,Jan2021_FishSurveys/Tektite Surveys 1.23.2021/P1230016.MOV,TK,1,F,,0:18,,January,1,2021
57,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240015.MOV,YZ,1,F,,0:12,,January,1,2021
77,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240013.MOV,YZ,1,F,,0:09,,January,1,2021
106,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240014.MOV,YZ,1,F,,0:12,,January,1,2021
121,Jan2021_FishSurveys/Joel's Shoal Fish Surveys 1.21.2021/P1010019.MOV,JS,1,F,,0:10,,January,1,2021
169,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240016.MOV,YZ,1,F,,0:05,,January,1,2021
3,072017/BR4.MOV,BR,1,F,maybe,0:22,,July,7,2017
