,FileLocation,Site,Starts.at,Month,Year
1,Apr2018_FishSurveys/Apr2018Cocoloba2.MOV,CL,0:13,April,2018
2,Apr2018_FishSurveys/Apr2018JoelsShoal3.MOV,JS,0:12,April,2018
3,Apr2019_FishSurveys_WS/YA/P1010050.MOV,YZ,0:05,April,2019
4,Apr2018_FishSurveys/Apr2018JoelsShoal1.MOV,JS,0:10,April,2018
5,Apr2019_FishSurveys_WS/YA/P1010048.MOV,YZ,0:08,April,2019
6,Apr2019_FishSurveys_WS/BR/P1010003.MOV,BR,0:06,April,2019
7,Apr2019_FishSurveys_WS/BR/P1010001_portion of first trasect.MOV,BR,0:06,April,2019
8,Apr2019_FishSurveys_WS/TK/P1010038a_portion of second trasect.MOV,TK,0:06,April,2019
9,Apr2018_FishSurveys/Apr2018JoelsShoal2.MOV,JS,0:21,April,2018
10,Apr2019_FishSurveys_WS/YA/P1010051.MOV,YZ,0:04,April,2019
11,Apr2018_FishSurveys/Apr2018Booby1.MOV,BR,0:14,April,2018
12,Apr2019_FishSurveys_WS/BR/P1010005.MOV,BR,0:32,April,2019
13,Aug2020_FishSurveys/Coco/P1010013.MOV,CL,0:04,August,2020
14,Aug2020_FishSurveys/Joels Shoal/P1010001.MOV,JS,0:05,August,2020
15,Aug2020_FishSurveys/Tektite/P1010021.MOV,TK,0:05,August,2020
16,Aug2020_FishSurveys/Yawzi/P1010010.MOV,YZ,0:15,August,2020
18,Aug2020_FishSurveys/Coco/P1010011.MOV,CL,0:05,August,2020
19,Aug2020_FishSurveys/Yawzi/P1010009.MOV,YZ,0:17,August,2020
20,Aug2020_FishSurveys/Yawzi/P1010012.MOV,YZ,0:03,August,2020
21,Aug2020_FishSurveys/Coco/P1010010.MOV,CL,0:05,August,2020
24,Jan2021_FishSurveys/Cocoloba Surveys 1.21.2021/P1010022.MOV,CL,0:21,January,2021
25,Jan2021_FishSurveys/Joel's Shoal Fish Surveys 1.21.2021/P1010017.MOV,JS,0:11,January,2021
26,Jan2021_FishSurveys/Tektite Surveys 1.23.2021/P1230016.MOV,TK,0:18,January,2021
27,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240015.MOV,YZ,0:12,January,2021
28,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240013.MOV,YZ,0:09,January,2021
29,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240014.MOV,YZ,0:12,January,2021
30,Jan2021_FishSurveys/Joel's Shoal Fish Surveys 1.21.2021/P1010019.MOV,JS,0:10,January,2021
31,Jan2021_FishSurveys/Yawzi Surveys 1.24.2021/P1240016.MOV,YZ,0:05,January,2021
32,072017/BR4.MOV,BR,0:22,July,2017
33,072017/Coco4.MOV,CL,0:05,July,2017
34,July2022_FishSurveys/CO/P7240159.MOV,CL,0:05,July,2022
36,July2022_FishSurveys/JS/P7260012.MOV,JS,0:15,July,2022
37,072017/TK_3_90.MOV,TK,0:13,July,2017
38,July2022_FishSurveys/TK/P7250011.MOV,TK,0:09,July,2022
39,072017/TK_1_270.MOV,TK,0:05,July,2017
40,July2022_FishSurveys/TK/P7250009.MOV,TK,0:09,July,2022
41,July2022_FishSurveys/JS/P7260010.MOV,JS,0:05,July,2022
42,072017/BR3.MOV,BR,0:50,July,2017
43,July2022_FishSurveys/JS/P7260011.MOV,JS,0:07,July,2022
44,072017/TK_4_0.MOV,TK,0:13,July,2017
45,072017/Joel_Shoal_170726_T2.MOV,JS,0:20,July,2017
46,072017/Coco3.MOV,CL,0:08,July,2017
47,072017/Joel_Shoal_170726_T3.MOV,JS,0:26,July,2017
48,July2022_FishSurveys/CO/P7240163.MOV,CL,0:10,July,2022
49,July2022_FishSurveys/TK/P7250010.MOV,TK,0:07,July,2022
50,072017/Coco1.MOV,CL,0:06,July,2017
51,072017/Joel_Shoal_170726_T4.MOV,JS,0:10,July,2017
52,072017/BR2.MOV,BR,0:31,July,2017
53,July2022_FishSurveys/JS/P7260009.MOV,JS,0:05,July,2022
54,072017/BR1.MOV,BR,1:22,July,2017
55,Summer2016/Booby30mTransects060916/P1010001.MOV,BR,0:25,June,2016
56,Summer2016/Cocolaba30mTransects060916/P1010019.MOV,CL,0:10,June,2016
57,Summer2016/TEK10mTransects060716/P6070004.MOV,TK,0:22,June,2016
58,Summer2016/Yawzi30mTransects060816/P6080008.MOV,YZ,1:00,June,2016
59,Summer2016/Yawzi30mTransects060816/P6080010.MOV,YZ,0:12,June,2016
60,Summer2016/Tektite30mTransects060816/P6080054.MOV,TK,1:04,June,2016
61,Summer2016/JoelsShoal30mTransects061016/P6100005.MOV,JS,0:20,June,2016
62,Summer2016/Yawzi30mTransects060816/P6080014.MOV,YZ,0:12,June,2016
63,Summer2016/JoelsShoal30mTransects061016/P6100001.MOV,JS,0:10,June,2016
64,Summer2016/Booby30mTransects060916/P1010003.MOV,BR,0:41,June,2016
66,Summer2016/TEK10mTransects060716/P6070008.MOV,TK,0:07,June,2016
67,Summer2016/JoelsShoal30mTransects061016/P6100007.MOV,JS,0:26,June,2016
68,Summer2016/TEK10mTransects060716/P6070006.MOV,TK,0:10,June,2016
69,Summer2016/Tektite30mTransects060816/P6080052.MOV,TK,0:20,June,2016
70,Summer2016/TEK10mTransects060716/P6070012.MOV,TK,0:07,June,2016
71,Summer2016/TEK10mTransects060716/P6070010.MOV,TK,0:18,June,2016
72,Mar2017_FishSurveys/BR/P3240049.MOV,BR,0:19,March,2017
73,Mar2017_FishSurveys/JS/P3270141.MOV,JS,0:30,March,2017
74,Mar2017_FishSurveys/YZ/P3250083.MOV,YZ,0:27,March,2017
75,Mar2017_FishSurveys/BR/P3240044.MOV,BR,0:24,March,2017
76,Mar2017_FishSurveys/BR/P3240036.MOV,BR,0:23,March,2017
77,Mar2017_FishSurveys/JS/P3270144.MOV,JS,0:39,March,2017
79,Mar2017_FishSurveys/BR/P3240033.MOV,BR,0:21,March,2017
80,Mar2017_FishSurveys/JS/P3270145.MOV,JS,0:51,March,2017
81,Mar2017_FishSurveys/TK/P3250058.MOV,TK,0:15,March,2017
82,May2023_FishSurveys/CO230509/P5090354.MOV,CL,0:07,May,2023
83,May2023_FishSurveys/JS230509/P5090347.MOV,JS,0:05,May,2023
