filename,annot_count,fish_count,inferred_site,inferred_year
072017/BR1_1m_22s,1407,209,Booby Rock,2017
072017/BR2_0m_31s,104,9,Booby Rock,2017
Nov2018_FishSurveys_WS/Booby Rock/P1010053_0m_5s,252,10,Booby Rock,2018
Nov2018_FishSurveys_WS/Booby Rock/P1010054_0m_5s,16,1,Booby Rock,2018
Oct2021_FishSurveys/Booby Rock 102521/PA250045_0m_13s,42,7,Booby Rock,2021
Oct2021_FishSurveys/Booby Rock 102521/PA250046_0m_8s,474,67,Booby Rock,2021
October2016/BoobyOct2016/PA210002_0m_10s,174,25,Booby Rock,2016
October2016/BoobyOct2016/PA210004_0m_6s,208,24,Booby Rock,2016
October2016/BoobyOct2016/PA210006_0m_18s,191,21,Booby Rock,2016
Apr2018_FishSurveys/Apr2018Booby1_0m_14s,965,105,Booby Rock,2018
Summer2016/Booby30mTransects060916/P1010001_0m_25s,93,9,Booby Rock,2016
Summer2016/Booby30mTransects060916/P1010003_0m_41s,306,21,Booby Rock,2016
Apr2019_FishSurveys_WS/BR/P1010001_portion of first trasect_0m_6s,195,30,Booby Rock,2019
072017/BR3_0m_50s,117,11,Booby Rock,2017
Apr2019_FishSurveys_WS/BR/P1010002_portion of first trasect_0m_0s,175,21,Booby Rock,2019
Apr2019_FishSurveys_WS/BR/P1010003_0m_6s,40,5,Booby Rock,2019
Apr2019_FishSurveys_WS/BR/P1010005_0m_32s,89,7,Booby Rock,2019
072017/BR4_0m_22s,90,7,Booby Rock,2017
Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey1_0m_20s,39,8,Booby Rock,2019
Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey3_0m_27s,114,11,Booby Rock,2019
Mar2017_FishSurveys/BR/P3240033_0m_21s,117,8,Booby Rock,2017
Mar2017_FishSurveys/BR/P3240036_0m_23s,30,2,Booby Rock,2017
Mar2017_FishSurveys/BR/P3240044_0m_24s,151,10,Booby Rock,2017
Mar2017_FishSurveys/BR/P3240049_0m_19s,170,10,Booby Rock,2017
May2023_FishSurveys/BR230508/P5080326_0m_4s,49,5,Booby Rock,2023
Nov2017_FishSurveys/BOOBY171124-1_0m_12s,42,4,Booby Rock,2017
Nov2017_FishSurveys/BOOBY171124-2_0m_16s,22,2,Booby Rock,2017
Nov2017_FishSurveys/BOOBY171124-3_0m_20s,803,102,Booby Rock,2017
Nov2018_FishSurveys_WS/Cocoloba/P1010033_0m_6s,60,13,Cocoloba,2018
Nov2018_FishSurveys_WS/Cocoloba/P1010034_0m_10s,238,36,Cocoloba,2018
Oct2021_FishSurveys/Cocoloba 102421/P1010022_0m_13s,0,0,Cocoloba,2021
Oct2021_FishSurveys/Cocoloba 102421/P1010023_0m_8s,47,2,Cocoloba,2021
October2016/CocolabaOct2016/PA220100_0m_11s,141,16,Cocoloba,2016
October2016/CocolabaOct2016/PA220102_0m_15s,61,8,Cocoloba,2016
October2016/CocolabaOct2016/PA220103_0m_9s,232,15,Cocoloba,2016
October2016/CocolabaOct2016/PA220104_0m_12s,222,13,Cocoloba,2016
Summer2016/Cocolaba30mTransects060916/P1010019_0m_10s,159,11,Cocoloba,2016
Apr2018_FishSurveys/Apr2018Cocoloba2_0m_13s,84,13,Cocoloba,2018
Aug2020_FishSurveys/Coco/P1010010_0m_5s,243,27,Cocoloba,2020
Aug2020_FishSurveys/Coco/P1010011_0m_5s,116,24,Cocoloba,2020
Aug2020_FishSurveys/Coco/P1010012_0m_11s,130,16,Cocoloba,2020
Aug2020_FishSurveys/Coco/P1010013_0m_4s,226,39,Cocoloba,2020
Aug2020_FishSurveys/Coco/P1010014_0m_5s,44,5,Cocoloba,2020
Aug2020_FishSurveys/Coco/P1010015_0m_5s,75,9,Cocoloba,2020
072017/Coco1_0m_6s,109,5,Cocoloba,2017
Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey2_0m_52s,76,8,Cocoloba,2019
Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey3_0m_25s,392,34,Cocoloba,2019
